zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
70446,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70447,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70444,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70445,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70433,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70431,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70437,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70435,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70438,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70460,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70461,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70462,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70463,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70464,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70466,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70467,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70458,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70452,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70455,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70454,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70456,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70450,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70068,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70403,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70401,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70084,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70051,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70052,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70471,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70429,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70426,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70427,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70420,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70421,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
70422,21567,"Washington-St Tammany E C, Inc",LA,Bundled,Cooperative,0.08859048970901348,0.08527104758584626,0.09192981335921488
27009,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27006,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28613,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28610,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27351,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27498,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28269,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
28660,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27357,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27025,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27027,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27020,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
27021,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09867842610704816,0.06548654609947732,0.11010244868957703
